Rank,Address,Label,Current Balance,Total Received,Total Sent,Transactions,First Seen,Last Seen,Status,Accessibility,Type,Vulnerability
73,1AenFm1zSRkhtPHwZmP2UuRQbWpakD8cVZ,,2918.00 BTC,3047.99 BTC,130.00 BTC,36.0,Multiple Txs (Old),2025-10-27,Spent/Active,Unknown,Legacy (1...),
74,13KYdPnzGh5H8exFY3FhUo9Rvvs6kKAcL8,,2799.89 BTC,2799.89 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
75,1EUJKGm3FB65rr5W9anAEoWA3m71WpDayZ,,2744.76 BTC,2744.76 BTC,0.00 BTC,25.0,2017-04-17,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
76,38gTej4KSrED7Ds9wTHJegErQSmSbF1Qfx,,2668.71 BTC,2668.71 BTC,0.00 BTC,38.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,P2SH (3...),
77,18cKGtwdQHmnDXD6w6AhBhHsmxnK8gsVHf,,2645.00 BTC,2645.00 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
78,19DdkMxutkLGY67REFPLu51imfxG9CUJLD,,2615.94 BTC,2615.94 BTC,0.00 BTC,36.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
79,1BrSzBwx2RLuppgGziqgF7oMuneHQVhsNc,,2600.00 BTC,2600.00 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
80,17j45BXWrjSDttuurcSQubYLdLescJ7eJH,,2584.71 BTC,2584.71 BTC,0.00 BTC,114.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
81,1AjbEPKeyW4MCUpwb37Y1HR9uDQso67mQx,,2510.00 BTC,2510.00 BTC,0.00 BTC,25.0,2017-05-17,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
82,1P6brDbYKsQGqRduaTMa1v8hBqJYjig4Qc,,2509.97 BTC,2509.97 BTC,0.00 BTC,32.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
83,1NT1jtYLNwFXLztD4U4B9sLizdYatirhWW,,2500.00 BTC,2500.00 BTC,0.00 BTC,33.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
84,12owkvCcMPw5u1M692GbBFmpaMdX3kqXQM,,2500.00 BTC,2500.00 BTC,0.00 BTC,31.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
85,1Kj6epyY2MdzZUCHE572jeV9n7DDRReaZJ,,2407.10 BTC,2408.10 BTC,1.00 BTC,35.0,Multiple Txs (Old),2025-10-27,Spent/Active,Unknown,Legacy (1...),
86,1Q6VMUacupsVvGgSW8puCdSb65jMVpSunQ,,2369.43 BTC,2369.43 BTC,0.00 BTC,26.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
87,1w7TJ4AJUpnRVAFdAKfngXVEyDHRbj6Nb,,2363.04 BTC,2363.04 BTC,0.00 BTC,25.0,2017-08-04,2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
88,152p1VPp2UYceP9BLtJRLoMgoErQRCryTt,,2350.00 BTC,2350.00 BTC,0.00 BTC,74.0,Multiple Txs (Old),2025-10-27,Dormant,Unspent/Lost Keys?,Legacy (1...),
89,1Dp1yVTFmgb6oL5WoNVsLsZso4ATMzxD1M,,2287.79 BTC,6392.28 BTC,4104.50 BTC,43.0,Multiple Txs (Old),2025-10-28,Spent/Active,Unknown,Legacy (1...),
90,1GbkwjPrrxdXB8ddewK3KhhCXgj8uZ2Y5K,,2254.88 BTC,2254.88 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
91,1HjdiADVHew97yM8z4Vqs4iPwMyQHkkuhj,,2200.00 BTC,2200.00 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
92,1G2ozMay5PggBFMvXtFDFiXk63u2XAMsqM,,2200.00 BTC,2200.00 BTC,0.00 BTC,34.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
93,35ysWwjZRokHuHbDWVZnd1HA9hs6YQtHLS,,2200.00 BTC,2200.00 BTC,0.00 BTC,27.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,P2SH (3...),
94,1LoSbcBntvcFtVAERaYTDhPB62EGkchMRQ,,2200.00 BTC,2200.00 BTC,0.00 BTC,25.0,2017-12-31,2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
95,1JaPNwMXt2AuVkWmkUHbsw78MbGorTfmm2,wallet: 4222,2194.51 BTC,4595.75 BTC,2401.24 BTC,66.0,Multiple Txs (Old),2025-10-28,Spent/Active,Likely Known/Exchange,Legacy (1...),
96,1CounterpartyXXXXXXXXXXXXXXXUWLpVr,,2131.00 BTC,2131.00 BTC,0.00 BTC,3111.0,Multiple Txs (Old),2026-03-05,Dormant,Unspent/Lost Keys?,Legacy (1...),
97,1VLZtmKa95BFrXHeyHEETAivJ22pTEhrT,,2100.01 BTC,2100.01 BTC,0.00 BTC,44.0,Multiple Txs (Old),2025-10-28,Dormant,Unspent/Lost Keys?,Legacy (1...),
